"sup_cod_id","wk_type","pdn_date","pdn_unit_price","pdn_quantity","pdn_amount_paid","pdn_total_amount","pdn_num_week","pdn_year","pdn_month","pdn_day"
SUP0070043,Productor,"2021-10-21",0.4,"49",0,19.6,42,2021,10,21
SUP0080045,Productor,"2021-10-21",0.4,"20",0,8.0,42,2021,10,21
SUP0140044,Productor,"2021-10-21",0.46,"65",0,29.900000000000002,42,2021,10,21
SUP0090081,Productor,"2021-10-21",0.4,"46",0,18.400000000000002,42,2021,10,21
SUP0100080,Productor,"2021-10-21",0.4,"37",0,14.8,42,2021,10,21
SUP0110083,Productor,"2021-10-21",0.6,"297",0,178.2,42,2021,10,21
SUP0170068,Productor,"2021-10-21",0.56,"377",0,211.12000000000003,42,2021,10,21
SUP0170068,Productor,"2021-10-21",0.04,"377",0,15.08,42,2021,10,21
SUP0020009,Productor,"2021-10-22",0.44,"134",0,58.96,42,2021,10,22
SUP0070043,Productor,"2021-10-22",0.4,"49",0,19.6,42,2021,10,22
SUP0080045,Productor,"2021-10-22",0.4,"36",0,14.4,42,2021,10,22
SUP0140044,Productor,"2021-10-22",0.46,"69",0,31.740000000000002,42,2021,10,22
SUP0090081,Productor,"2021-10-22",0.4,"60",0,24.0,42,2021,10,22
SUP0100080,Productor,"2021-10-22",0.4,"36",0,14.4,42,2021,10,22
SUP0110083,Productor,"2021-10-22",0.6,"297",0,178.2,42,2021,10,22
